Data,Estado,Mortos,Feridos,Total
23/06/2018,Illinois,1,4,5
23/06/2018,Tennessee,0,4,4
22/06/2018,Pennsylvania,1,3,4
21/06/2018,California,1,3,4
21/06/2018,Louisiana,0,4,4
21/06/2018,Illinois,0,4,4
20/06/2018,California,0,5,5
19/06/2018,Alabama,0,4,4
18/06/2018,Illinois,2,3,5
18/06/2018,Illinois,3,1,4
17/06/2018,North Carolina,0,4,4
17/06/2018,New Jersey,1,22,23
17/06/2018,Georgia,1,3,4
17/06/2018,Illinois,0,4,4
14/06/2018,Pennsylvania,0,4,4
14/06/2018,California,0,5,5
14/06/2018,California,1,4,5
14/06/2018,New York,1,4,5
14/06/2018,Colorado,1,3,4
12/06/2018,New York,0,4,4
11/06/2018,Alabama,0,4,4
11/06/2018,Florida,5,1,6
10/06/2018,Florida,1,5,6
10/06/2018,California,0,6,6
10/06/2018,Indiana,1,4,5
10/06/2018,Illinois,0,7,7
10/06/2018,Illinois,2,2,4
10/06/2018,Illinois,1,5,6
09/06/2018,Massachusetts,0,4,4
09/06/2018,North Carolina,0,4,4
09/06/2018,Pennsylvania,1,4,5
05/06/2018,Florida,3,1,4
03/06/2018,Texas,0,5,5
03/06/2018,Illinois,1,3,4
02/06/2018,Nebraska,1,6,7
02/06/2018,New York,0,5,5
31/05/2018,South Carolina,3,2,5
04/06/2018,Arizona,7,0,7
27/05/2018,Louisiana,0,4,4
27/05/2018,Colorado,1,3,4
25/05/2018,Ohio,0,4,4
20/05/2018,Indiana,0,4,4
20/05/2018,Mississippi,1,7,8
18/05/2018,Texas,10,14,24
16/05/2018,Texas,5,1,6
14/05/2018,Maryland,0,4,4
13/05/2018,California,3,2,5
13/05/2018,Mississippi,0,4,4
13/05/2018,California,2,2,4
12/05/2018,Nebraska,0,7,7
12/05/2018,New Jersey,0,4,4
11/05/2018,Missouri,0,4,4
11/05/2018,Oklahoma,1,4,5
09/05/2018,Nebraska,0,4,4
09/05/2018,Missouri,0,4,4
07/05/2018,California,0,5,5
06/05/2018,Oklahoma,0,4,4
06/05/2018,Tennessee,2,4,6
05/05/2018,Georgia,0,5,5
04/05/2018,North Carolina,0,4,4
04/05/2018,Illinois,0,4,4
02/05/2018,Illinois,1,4,5
02/05/2018,Minnesota,0,6,6
02/05/2018,New York,1,4,5
01/05/2018,Louisiana,0,5,5
30/04/2018,Florida,0,4,4
30/04/2018,District of Columbia,0,4,4
29/04/2018,Tennessee,0,4,4
29/04/2018,Washington,2,2,4
29/04/2018,North Carolina,1,3,4
29/04/2018,Florida,1,3,4
28/04/2018,North Carolina,0,5,5
25/04/2018,Arkansas,0,4,4
25/04/2018,Missouri,3,1,4
24/04/2018,Michigan,0,4,4
22/04/2018,Louisiana,1,5,6
22/04/2018,Tennessee,4,2,6
21/04/2018,Pennsylvania,2,2,4
20/04/2018,California,1,5,6
18/04/2018,North Carolina,4,3,7
15/04/2018,Louisiana,0,6,6
09/04/2018,California,0,4,4
08/04/2018,North Carolina,1,3,4
08/04/2018,Florida,2,2,4
06/04/2018,Florida,0,4,4
06/04/2018,Virginia,1,3,4
04/04/2018,Louisiana,2,2,4
03/04/2018,California,1,4,5
02/04/2018,Texas,1,3,4
01/04/2018,Alabama,1,4,5
01/04/2018,Michigan,0,5,5
31/03/2018,New Jersey,0,5,5
29/03/2018,Texas,1,3,4
29/03/2018,New Jersey,0,4,4
24/03/2018,Utah,0,4,4
21/03/2018,California,1,5,6
17/03/2018,Kentucky,0,7,7
17/03/2018,Illinois,0,4,4
13/03/2018,Florida,0,4,4
12/03/2018,California,0,4,4
11/03/2018,Illinois,1,3,4
11/03/2018,Indiana,0,6,6
11/03/2018,Michigan,0,5,5
09/03/2018,California,5,0,5
09/03/2018,North Carolina,3,1,4
07/03/2018,Alabama,2,2,4
04/03/2018,Illinois,1,4,5
03/03/2018,Florida,0,4,4
03/03/2018,New York,1,3,4
27/02/2018,Connecticut,0,4,4
26/02/2018,Michigan,5,0,5
23/02/2018,Florida,1,3,4
18/02/2018,Texas,0,5,5
17/02/2018,Kansas,1,7,8
17/02/2018,Tennessee,0,5,5
16/02/2018,Oklahoma,1,3,4
14/02/2018,Florida,17,17,34
13/02/2018,Louisiana,3,5,8
11/02/2018,Michigan,4,3,7
10/02/2018,Kentucky,5,0,5
07/02/2018,Florida,3,3,6
05/02/2018,Colorado,2,4,6
03/02/2018,Ohio,1,5,6
31/01/2018,Missouri,0,4,4
28/01/2018,Pennsylvania,5,0,5
28/01/2018,Pennsylvania,4,0,4
28/01/2018,Indiana,2,3,5
27/01/2018,California,0,5,5
27/01/2018,Kentucky,0,4,4
25/01/2018,District of Columbia,0,4,4
23/01/2018,Pennsylvania,0,4,4
23/01/2018,Kentucky,2,16,18
21/01/2018,Florida,0,4,4
21/01/2018,Illinois,0,4,4
17/01/2018,District of Columbia,1,3,4
15/01/2018,Florida,0,5,5
14/01/2018,Alabama,1,4,5
14/01/2018,Alabama,0,4,4
12/01/2018,Tennessee,3,2,5
11/01/2018,Missouri,2,2,4
07/01/2018,Alabama,1,5,6
07/01/2018,Florida,0,4,4
05/01/2018,Mississippi,0,6,6
04/01/2018,Arkansas,1,3,4
01/01/2018,Alabama,1,3,4
29/12/2019,Texas,3,0,3
